zdate,coid,close
2020-04-01 00:00:00+00:00,0051,28.67
2020-04-01 00:00:00+00:00,0052,58.75
2020-04-01 00:00:00+00:00,0057,49.93
2020-04-01 00:00:00+00:00,006208,43.54
2020-04-01 00:00:00+00:00,00625K,6.66
2020-04-01 00:00:00+00:00,00631L,33.97
2020-04-01 00:00:00+00:00,00636,19.41
2020-04-01 00:00:00+00:00,00636K,6.35
2020-04-01 00:00:00+00:00,00637L,14.34
2020-04-01 00:00:00+00:00,00638R,12.47
2020-04-01 00:00:00+00:00,00660,19.45
2020-04-01 00:00:00+00:00,00661,23.48
2020-04-01 00:00:00+00:00,00662,29.91
2020-04-01 00:00:00+00:00,00663L,30.08
2020-04-01 00:00:00+00:00,00664R,13.55
2020-04-01 00:00:00+00:00,00665L,19.78
2020-04-01 00:00:00+00:00,00666R,14.41
2020-04-01 00:00:00+00:00,00682U,19.69
2020-04-01 00:00:00+00:00,00683L,20.27
2020-04-01 00:00:00+00:00,00684R,18.06
2020-04-01 00:00:00+00:00,00685L,11.7
2020-04-01 00:00:00+00:00,00686R,8.0
2020-04-01 00:00:00+00:00,00687B,53.55
2020-04-01 00:00:00+00:00,00688L,34.33
2020-04-01 00:00:00+00:00,00689R,12.88
2020-04-01 00:00:00+00:00,00726B,39.8
2020-04-01 00:00:00+00:00,00727B,37.9
2020-04-01 00:00:00+00:00,00728,16.25
2020-04-01 00:00:00+00:00,00730,14.79
2020-04-01 00:00:00+00:00,00731,40.03
2020-04-01 00:00:00+00:00,00732,38.3
2020-04-01 00:00:00+00:00,00733,16.67
2020-04-01 00:00:00+00:00,00734B,19.52
2020-04-01 00:00:00+00:00,00735,17.64
2020-04-01 00:00:00+00:00,00736,15.69
2020-04-01 00:00:00+00:00,00737,17.86
2020-04-01 00:00:00+00:00,00738U,15.77
2020-04-01 00:00:00+00:00,00739,19.75
2020-04-01 00:00:00+00:00,00740B,45.0
2020-04-01 00:00:00+00:00,00741B,36.38
2020-04-01 00:00:00+00:00,00742,18.6
2020-04-01 00:00:00+00:00,00743,19.85
2020-04-01 00:00:00+00:00,00744B,42.0
2020-04-01 00:00:00+00:00,00745B,39.47
2020-04-01 00:00:00+00:00,00746B,46.12
2020-04-01 00:00:00+00:00,00747B,51.75
2020-04-01 00:00:00+00:00,00768B,83.5
2020-04-01 00:00:00+00:00,00769B,60.9
2020-04-01 00:00:00+00:00,00770,21.2
2020-04-01 00:00:00+00:00,00771,16.78
2020-04-01 00:00:00+00:00,00772B,47.16
2020-04-01 00:00:00+00:00,00773B,46.74
2020-04-01 00:00:00+00:00,00774B,40.32
2020-04-01 00:00:00+00:00,00774C,9.45
2020-04-01 00:00:00+00:00,00775B,43.41
2020-04-01 00:00:00+00:00,00776,18.16
2020-04-01 00:00:00+00:00,00777B,46.3
2020-04-01 00:00:00+00:00,00778B,46.0
2020-04-01 00:00:00+00:00,00779B,55.0
2020-04-01 00:00:00+00:00,00780B,41.3
2020-04-01 00:00:00+00:00,00781B,46.8
2020-04-01 00:00:00+00:00,00782B,43.43
