coid,簡稱,mdate,券商,zdate,預估營收,預估營業毛利,預估營業毛利率,預估營業利益,預估營業利益率,預估稅前淨利,預估稅前淨利率,預估稅後淨利,預估稅後淨利率,預估稅後EPS,預估營收成長率,預估稅前盈餘成長率,預估稅後淨利成長率,預估營收調整%,預估稅前盈餘調整%,預估稅後淨利調整%
1101,台泥,2019-06-01,ABSCXYZ,2018-11-20,34412.0,10296.0,29.92,8920.0,25.92,9818.0,28.53,6689.0,19.44,1.31,3.27,-0.05,-5.31,0.0,0.0,0.00
1101,台泥,2019-06-01,ACAPXYZ,2018-01-18,26945.0,5833.0,21.65,4347.0,16.13,4497.0,16.69,3075.0,11.41,0.72,-19.14,-54.22,-56.47,0.0,0.0,0.00
1101,台泥,2019-06-01,ACAPXYZ,2018-08-13,30536.0,10553.0,34.56,9049.0,29.63,9619.0,31.5,7001.0,22.93,1.37,-8.36,-2.07,-0.9,13.33,113.9,127.67
1101,台泥,2019-06-01,ACAPXYZ,2018-11-20,30536.0,10553.0,34.56,9049.0,29.63,9799.0,32.09,7181.0,23.52,1.41,-8.36,-0.24,1.65,-96.95,1.87,2.57
1101,台泥,2019-06-01,ACAPXYZ,2019-03-20,28688.0,8564.0,29.85,7175.0,25.01,8345.0,29.09,6092.0,21.24,1.15,-13.9,-15.04,-13.77,-6.05,-14.84,-15.17
1101,台泥,2019-06-01,ACAPXYZ,2019-05-14,33042.0,8792.0,26.61,7389.0,22.36,8484.0,25.68,6007.0,18.18,1.13,-0.84,-13.63,-14.97,15.18,1.67,-1.40
1101,台泥,2019-06-01,ACSCXYZ,2019-05-13,34283.0,9552.0,27.86,8010.0,23.36,8865.0,25.86,6342.0,18.5,1.19,2.89,-9.75,-10.23,0.0,0.0,0.00
1101,台泥,2019-06-01,ACTBCXYZ,2019-05-14,34498.0,8814.0,25.55,7562.0,21.92,7931.0,22.99,,,1.04,3.53,-19.26,,0.0,0.0,-
1101,台泥,2019-06-01,AESBXYZ,2018-10-02,36648.0,10433.0,28.47,8748.0,23.87,9470.0,25.84,7009.0,19.13,1.37,9.98,-3.59,-0.79,0.0,0.0,0.00
1101,台泥,2019-06-01,AFUSXYZ,2018-11-20,33974.0,9862.0,29.03,8547.0,25.16,9524.0,28.03,6976.0,20.53,1.37,1.96,-3.04,-1.25,0.0,0.0,0.00
1101,台泥,2019-06-01,AJSSXYZ,2018-10-17,34048.0,10611.0,31.16,9351.0,27.46,10195.0,29.94,7375.0,21.66,1.44,2.18,3.79,4.4,0.0,0.0,0.00
1101,台泥,2019-06-01,AKBFXYZ,2018-07-26,33771.0,9886.0,29.27,8376.0,24.8,8736.0,25.87,6177.0,18.29,1.32,1.35,-11.06,-12.56,0.0,0.0,0.00
1101,台泥,2019-06-01,AKTSXYZ,2019-05-14,33935.0,,,,,8319.0,24.51,6008.0,17.7,1.18,1.84,-15.31,-14.95,0.0,0.0,0.00
1101,台泥,2019-06-01,AKTSXYZ,2019-07-09,31561.0,,,,,6937.0,21.98,4944.0,15.66,0.97,-5.28,-29.38,-30.02,-7.0,-16.61,-17.71
1101,台泥,2019-06-01,AMSLXYZ,2019-03-19,35820.0,11212.0,31.3,9586.0,26.76,9984.0,27.87,7688.0,21.46,1.3,7.5,1.64,8.83,0.0,0.0,0.00
1101,台泥,2019-06-01,AMSLXYZ,2019-05-14,35820.0,11104.0,31.0,9402.0,26.25,9874.0,27.57,7603.0,21.23,1.34,7.5,0.52,7.62,0.0,-1.1,-1.11
1101,台泥,2019-06-01,ANSCXYZ,2018-11-20,34054.0,10325.0,30.32,8792.0,25.82,9547.0,28.03,6621.0,19.44,1.3,2.2,-2.81,-6.28,0.0,0.0,0.00
1101,台泥,2019-06-01,ANSCXYZ,2019-05-14,33041.0,10001.0,30.27,8514.0,25.77,9147.0,27.68,6363.0,19.26,1.18,-0.84,-6.88,-9.93,-2.97,-4.19,-3.90
1101,台泥,2019-06-01,APCSXYZ,2018-11-20,32199.0,9099.0,28.26,7773.0,24.14,8395.0,26.07,5812.0,18.05,1.14,-3.37,-14.53,-17.73,0.0,0.0,0.00
1101,台泥,2019-06-01,APCSXYZ,2019-07-11,,,,,,,,5864.0,,1.1,,,-16.99,0.0,,0.89
1101,台泥,2019-06-01,ATASXYZ,2018-11-22,31558.0,7820.0,24.78,6509.0,20.63,6864.0,21.75,4401.0,13.95,0.86,-5.29,-30.12,-37.7,0.0,0.0,0.00
1101,台泥,2019-06-01,AYUSXYZ,2019-02-26,36172.0,11206.0,30.98,9885.0,27.33,10390.0,28.72,7523.0,20.8,1.47,8.56,5.78,6.49,0.0,0.0,0.00
1101,台泥,2019-06-01,AYUSXYZ,2019-05-13,34050.0,11063.0,32.49,9745.0,28.62,10200.0,29.96,7374.0,21.66,1.38,2.19,3.84,4.38,-5.87,-1.83,-1.98
1101,台泥,2019-09-01,ABSCXYZ,2018-11-20,33651.0,9196.0,27.33,7850.0,23.33,8801.0,26.15,6040.0,17.95,1.18,4.65,5.59,1.79,0.0,0.0,0.00
1101,台泥,2019-09-01,ABSCXYZ,2019-08-20,31004.0,8619.0,27.8,7007.0,22.6,7880.0,25.42,5203.0,16.78,1.02,-3.59,-5.46,-12.32,-7.87,-10.46,-13.86
1101,台泥,2019-09-01,ACAPXYZ,2018-08-13,29221.0,10335.0,35.37,8912.0,30.5,9682.0,33.13,7024.0,24.04,1.38,-9.13,16.16,18.37,0.0,0.0,0.00
