coid,zdate
9958,2019-01-10
9958,2019-02-15
9958,2019-03-11
9958,2019-04-10
9958,2019-05-10
9958,2019-06-10
9958,2019-07-10
9958,2019-08-08
9958,2019-09-10
9958,2019-10-14
9958,2019-11-11
9958,2019-12-10
9958,2020-01-09
9958,2020-02-10
9958,2020-03-10
9958,2020-04-10
9955,2019-01-09
9955,2019-02-15
9955,2019-03-11
9955,2019-04-10
9955,2019-05-10
9955,2019-06-06
9955,2019-07-09
9955,2019-08-08
9955,2019-09-09
9955,2019-10-09
9955,2019-11-07
9955,2019-12-09
9955,2020-01-09
9955,2020-02-07
9955,2020-03-09
9955,2020-04-10
9946,2019-01-10
9946,2019-02-15
9946,2019-03-10
9946,2019-04-10
9946,2019-05-10
9946,2019-06-10
9946,2019-07-10
9946,2019-08-12
9946,2019-09-10
9946,2019-10-14
9946,2019-11-11
9946,2019-12-10
9946,2020-01-10
9946,2020-02-10
9946,2020-03-13
9946,2020-04-10
9945,2019-01-10
9945,2019-02-15
9945,2019-03-11
9945,2019-04-10
9945,2019-05-10
9945,2019-06-10
9945,2019-07-10
9945,2019-08-12
9945,2019-09-10
9945,2019-10-14
9945,2019-11-11
9945,2019-12-10
9945,2020-01-10
9945,2020-02-13
9945,2020-03-10
9945,2020-04-10
9944,2019-01-09
9944,2019-02-14
9944,2019-03-08
9944,2019-04-09
9944,2019-05-09
9944,2019-06-10
9944,2019-07-09
9944,2019-08-09
9944,2019-09-09
9944,2019-10-09
9944,2019-11-08
9944,2019-12-09
9944,2020-01-09
9944,2020-02-14
9944,2020-03-09
9944,2020-04-09
9943,2019-01-08
9943,2019-02-15
9943,2019-03-08
9943,2019-04-09
9943,2019-05-09
9943,2019-06-10
9943,2019-07-05
9943,2019-08-07
9943,2019-09-09
9943,2019-10-08
9943,2019-11-07
9943,2019-12-09
9943,2020-01-09
9943,2020-02-07
9943,2020-03-09
9943,2020-04-09
9942,2019-01-09
9942,2019-02-14
9942,2019-03-11
9942,2019-04-09
9942,2019-05-09
9942,2019-06-10
9942,2019-07-09
9942,2019-08-08
9942,2019-09-09
9942,2019-10-08
9942,2019-11-07
9942,2019-12-09
9942,2020-01-09
9942,2020-02-11
9942,2020-03-09
9942,2020-04-09
9941,2019-01-09
9941,2019-02-15
9941,2019-03-08
9941,2019-04-09
9941,2019-05-09
9941,2019-06-10
9941,2019-07-09
9941,2019-08-08
9941,2019-09-09
9941,2019-10-09
9941,2019-11-08
9941,2019-12-09
9941,2020-01-09
9941,2020-02-14
9941,2020-03-09
9941,2020-04-09
9940,2019-01-10
9940,2019-02-15
9940,2019-03-08
9940,2019-04-10
9940,2019-05-10
9940,2019-06-10
9940,2019-07-10
9940,2019-08-08
9940,2019-09-10
9940,2019-10-09
9940,2019-11-08
9940,2019-12-10
9940,2020-01-10
9940,2020-02-10
9940,2020-03-10
9940,2020-04-10
9939,2019-01-10
9939,2019-02-15
9939,2019-03-11
9939,2019-04-10
9939,2019-05-10
9939,2019-06-10
9939,2019-07-10
9939,2019-08-09
9939,2019-09-10
9939,2019-10-09
9939,2019-11-11
9939,2019-12-09
9939,2020-01-10
9939,2020-02-13
9939,2020-03-10
9939,2020-04-10
9938,2019-01-08
9938,2019-02-14
9938,2019-03-07
9938,2019-04-09
9938,2019-05-08
9938,2019-06-06
9938,2019-07-08
9938,2019-08-07
9938,2019-09-09
9938,2019-10-07
9938,2019-11-07
9938,2019-12-09
9938,2020-01-07
9938,2020-02-07
9938,2020-03-05
9938,2020-04-07
9937,2019-01-08
9937,2019-02-13
9937,2019-03-07
9937,2019-04-08
9937,2019-05-07
9937,2019-06-06
9937,2019-07-05
9937,2019-08-07
9937,2019-09-06
9937,2019-10-07
9937,2019-11-07
9937,2019-12-06
9937,2020-01-07
9937,2020-02-06
9937,2020-03-09
9937,2020-04-09
9935,2019-01-08
9935,2019-02-12
9935,2019-03-07
9935,2019-04-09
9935,2019-05-08
9935,2019-06-10
9935,2019-07-08
9935,2019-08-08
9935,2019-09-09
9935,2019-10-07
9935,2019-11-07
9935,2019-12-09
9935,2020-01-07
9935,2020-02-10
9935,2020-03-09
9935,2020-04-07
9934,2019-01-10
9934,2019-02-15
9934,2019-03-08
9934,2019-04-09
9934,2019-05-09
9934,2019-06-10
9934,2019-07-10
9934,2019-08-09
9934,2019-09-10
9934,2019-10-09
9934,2019-11-08
9934,2019-12-10
9934,2020-01-10
9934,2020-02-13
9934,2020-03-10
9934,2020-04-10
9933,2019-01-10
9933,2019-02-15
9933,2019-03-08
9933,2019-04-10
9933,2019-05-10
9933,2019-06-10
9933,2019-07-10
9933,2019-08-08
9933,2019-09-10
9933,2019-10-09
9933,2019-11-09
9933,2019-12-10
9933,2020-01-10
9933,2020-02-10
9933,2020-03-10
9933,2020-04-10
9931,2019-01-10
9931,2019-02-15
9931,2019-03-08
9931,2019-04-10
9931,2019-05-10
9931,2019-06-10
9931,2019-07-10
9931,2019-08-09
9931,2019-09-10
9931,2019-10-09
9931,2019-11-08
9931,2019-12-10
9931,2020-01-10
9931,2020-02-10
9931,2020-03-10
9931,2020-04-10
9930,2019-01-09
9930,2019-02-14
