zdate,coid,持股數
2019-04-15,9945,2000.0
2019-04-15,9935,4000.0
2019-04-15,9927,2000.0
2019-04-15,9907,7000.0
2019-04-15,8473,1000.0
2019-04-15,8463,3000.0
2019-04-15,6416,1000.0
2019-04-15,6412,1000.0
2019-04-15,6277,1000.0
2019-04-15,6235,6000.0
2019-04-15,6226,11000.0
2019-04-15,6225,33000.0
2019-04-15,6209,2000.0
2019-04-15,6141,5000.0
2019-04-15,6131,37000.0
2019-04-15,5608,9000.0
2019-04-15,5607,5000.0
2019-04-15,5534,1000.0
2019-04-15,5533,5000.0
2019-04-15,5531,9000.0
2019-04-15,5521,12000.0
2019-04-15,4999,1000.0
2019-04-15,4967,3000.0
2019-04-15,4739,1000.0
2019-04-15,4737,1000.0
2019-04-15,4414,6000.0
2019-04-15,3694,4000.0
2019-04-15,3536,13000.0
2019-04-15,3501,1000.0
2019-04-15,3494,16000.0
2019-04-15,3450,1000.0
2019-04-15,3416,1000.0
2019-04-15,3383,87000.0
2019-04-15,3229,6000.0
2019-04-15,3055,3000.0
2019-04-15,3052,11000.0
2019-04-15,3040,2000.0
2019-04-15,3018,3000.0
2019-04-15,3005,1000.0
2019-04-15,3004,1000.0
2019-04-15,2915,1000.0
2019-04-15,2911,10000.0
2019-04-15,2908,4000.0
2019-04-15,2905,5000.0
2019-04-15,2823,3000.0
2019-04-15,2816,4000.0
2019-04-15,2642,4000.0
2019-04-15,2630,4000.0
2019-04-15,2547,6000.0
2019-04-15,2536,4000.0
2019-04-15,2534,3000.0
2019-04-15,2527,4000.0
2019-04-15,2516,14000.0
2019-04-15,2504,11000.0
2019-04-15,2491,16000.0
2019-04-15,2450,2000.0
2019-04-15,2443,24000.0
2019-04-15,2434,11000.0
2019-04-15,2413,4000.0
2019-04-15,2393,3000.0
2019-04-15,2364,31000.0
2019-04-15,2348,2000.0
2019-04-15,2312,8000.0
2019-04-15,2108,2000.0
2019-04-15,2105,2000.0
2019-04-15,2104,2000.0
2019-04-15,2102,8000.0
2019-04-15,2038,11000.0
2019-04-15,2032,10000.0
2019-04-15,2031,3000.0
2019-04-15,2029,4000.0
2019-04-15,2027,2000.0
2019-04-15,2023,9000.0
2019-04-15,2022,14000.0
2019-04-15,2007,18000.0
2019-04-15,1906,6000.0
2019-04-15,1806,14000.0
2019-04-15,1802,7000.0
2019-04-15,1733,2000.0
2019-04-15,1722,2000.0
2019-04-15,1709,6000.0
2019-04-15,1609,8000.0
2019-04-15,1608,10000.0
2019-04-15,1535,3000.0
2019-04-15,1519,4000.0
2019-04-15,1516,5000.0
2019-04-15,1512,15000.0
2019-04-15,1506,4000.0
2019-04-15,1471,18000.0
2019-04-15,1466,10000.0
2019-04-15,1455,10000.0
2019-04-15,1451,3000.0
2019-04-15,1441,7000.0
2019-04-15,1435,17000.0
2019-04-15,1423,9000.0
2019-04-15,1414,13000.0
2019-04-15,1217,13000.0
2019-04-15,1213,10000.0
2019-04-16,9945,1000.0
2019-04-16,9935,3000.0
2019-04-16,9933,1000.0
2019-04-16,9927,2000.0
2019-04-16,9907,6000.0
2019-04-16,8473,1000.0
2019-04-16,8463,2000.0
2019-04-16,8367,3000.0
2019-04-16,8201,5000.0
2019-04-16,6625,1000.0
2019-04-16,6412,1000.0
2019-04-16,6235,4000.0
2019-04-16,6226,9000.0
2019-04-16,6225,26000.0
2019-04-16,6209,2000.0
2019-04-16,6183,2000.0
2019-04-16,6142,8000.0
2019-04-16,6141,4000.0
2019-04-16,6131,33000.0
2019-04-16,6005,8000.0
2019-04-16,5608,7000.0
2019-04-16,5607,4000.0
2019-04-16,5533,4000.0
2019-04-16,5531,7000.0
2019-04-16,5521,10000.0
2019-04-16,4999,1000.0
2019-04-16,4967,2000.0
2019-04-16,4737,1000.0
2019-04-16,4566,1000.0
2019-04-16,4564,1000.0
2019-04-16,4414,5000.0
2019-04-16,3694,3000.0
2019-04-16,3550,4000.0
2019-04-16,3536,10000.0
2019-04-16,3501,1000.0
2019-04-16,3494,13000.0
2019-04-16,3450,1000.0
2019-04-16,3416,1000.0
2019-04-16,3383,64000.0
2019-04-16,3229,5000.0
2019-04-16,3055,2000.0
2019-04-16,3052,9000.0
2019-04-16,3040,2000.0
2019-04-16,3018,2000.0
2019-04-16,3015,3000.0
2019-04-16,3005,1000.0
2019-04-16,2911,8000.0
2019-04-16,2908,3000.0
2019-04-16,2905,4000.0
2019-04-16,2867,6000.0
2019-04-16,2823,3000.0
2019-04-16,2816,3000.0
2019-04-16,2642,3000.0
2019-04-16,2630,3000.0
2019-04-16,2547,5000.0
2019-04-16,2543,10000.0
2019-04-16,2536,3000.0
2019-04-16,2534,2000.0
2019-04-16,2527,3000.0
2019-04-16,2516,12000.0
2019-04-16,2504,8000.0
2019-04-16,2491,13000.0
2019-04-16,2450,2000.0
2019-04-16,2443,20000.0
2019-04-16,2434,9000.0
2019-04-16,2413,3000.0
2019-04-16,2393,2000.0
2019-04-16,2364,24000.0
2019-04-16,2348,1000.0
2019-04-16,2312,6000.0
2019-04-16,2208,2000.0
2019-04-16,2109,6000.0
2019-04-16,2108,2000.0
2019-04-16,2105,1000.0
2019-04-16,2104,1000.0
2019-04-16,2102,6000.0
2019-04-16,2069,2000.0
2019-04-16,2038,9000.0
2019-04-16,2032,8000.0
2019-04-16,2031,2000.0
2019-04-16,2029,3000.0
2019-04-16,2027,1000.0
2019-04-16,2025,43000.0
2019-04-16,2023,8000.0
2019-04-16,2022,11000.0
2019-04-16,2007,15000.0
2019-04-16,1906,4000.0
2019-04-16,1808,1000.0
2019-04-16,1806,11000.0
2019-04-16,1802,6000.0
2019-04-16,1786,1000.0
2019-04-16,1734,3000.0
2019-04-16,1733,2000.0
2019-04-16,1726,1000.0
2019-04-16,1722,1000.0
2019-04-16,1709,5000.0
2019-04-16,1618,8000.0
2019-04-16,1609,7000.0
2019-04-16,1535,2000.0
2019-04-16,1528,7000.0
2019-04-16,1519,3000.0
2019-04-16,1516,4000.0
2019-04-16,1512,12000.0
2019-04-16,1506,3000.0
2019-04-16,1471,14000.0
2019-04-16,1466,8000.0
2019-04-16,1455,8000.0
2019-04-16,1451,2000.0
2019-04-16,1441,5000.0
2019-04-16,1435,14000.0
2019-04-16,1423,7000.0
2019-04-16,1414,10000.0
2019-04-16,1409,5000.0
2019-04-16,1339,2000.0
2019-04-16,1217,10000.0
2019-04-16,1213,8000.0
2019-04-16,1108,10000.0
2019-04-17,9958,1000.0
2019-04-17,9945,1000.0
2019-04-17,9935,3000.0
2019-04-17,9933,1000.0
2019-04-17,9927,2000.0
2019-04-17,9907,5000.0
2019-04-17,8473,1000.0
2019-04-17,8463,2000.0
2019-04-17,8367,3000.0
2019-04-17,8201,5000.0
2019-04-17,6625,1000.0
2019-04-17,6412,1000.0
2019-04-17,6235,4000.0
2019-04-17,6226,9000.0
2019-04-17,6225,24000.0
2019-04-17,6209,2000.0
2019-04-17,6183,2000.0
2019-04-17,6142,8000.0
2019-04-17,6141,4000.0
2019-04-17,6131,36000.0
2019-04-17,6005,7000.0
2019-04-17,5608,7000.0
2019-04-17,5607,4000.0
2019-04-17,5533,4000.0
2019-04-17,5531,7000.0
2019-04-17,5521,9000.0
2019-04-17,4999,1000.0
2019-04-17,4967,2000.0
2019-04-17,4737,1000.0
2019-04-17,4566,1000.0
2019-04-17,4564,1000.0
2019-04-17,4414,5000.0
2019-04-17,3694,3000.0
2019-04-17,3550,4000.0
2019-04-17,3536,10000.0
2019-04-17,3501,1000.0
2019-04-17,3494,13000.0
2019-04-17,3450,1000.0
2019-04-17,3432,4000.0
2019-04-17,3416,1000.0
2019-04-17,3383,57000.0
2019-04-17,3229,4000.0
2019-04-17,3055,2000.0
2019-04-17,3052,8000.0
2019-04-17,3040,2000.0
2019-04-17,3018,2000.0
2019-04-17,3015,3000.0
2019-04-17,3005,1000.0
2019-04-17,2911,8000.0
2019-04-17,2908,3000.0
2019-04-17,2905,4000.0
2019-04-17,2867,6000.0
2019-04-17,2855,5000.0
2019-04-17,2823,2000.0
2019-04-17,2816,3000.0
2019-04-17,2630,3000.0
2019-04-17,2547,5000.0
2019-04-17,2543,9000.0
2019-04-17,2536,3000.0
2019-04-17,2534,2000.0
2019-04-17,2527,3000.0
2019-04-17,2516,11000.0
2019-04-17,2504,8000.0
2019-04-17,2491,12000.0
2019-04-17,2450,2000.0
2019-04-17,2443,19000.0
2019-04-17,2434,8000.0
2019-04-17,2413,3000.0
2019-04-17,2393,2000.0
2019-04-17,2364,24000.0
2019-04-17,2348,1000.0
2019-04-17,2331,6000.0
2019-04-17,2312,6000.0
2019-04-17,2208,2000.0
2019-04-17,2109,5000.0
2019-04-17,2108,2000.0
2019-04-17,2105,1000.0
2019-04-17,2104,1000.0
2019-04-17,2102,6000.0
2019-04-17,2069,2000.0
2019-04-17,2038,9000.0
2019-04-17,2032,8000.0
2019-04-17,2031,2000.0
2019-04-17,2030,5000.0
2019-04-17,2029,3000.0
2019-04-17,2027,1000.0
2019-04-17,2025,44000.0
2019-04-17,2023,7000.0
2019-04-17,2022,11000.0
2019-04-17,2007,14000.0
2019-04-17,1906,4000.0
2019-04-17,1808,1000.0
2019-04-17,1806,10000.0
2019-04-17,1802,6000.0
2019-04-17,1786,1000.0
2019-04-17,1734,3000.0
2019-04-17,1733,2000.0
2019-04-17,1722,1000.0
2019-04-17,1709,5000.0
2019-04-17,1618,8000.0
2019-04-17,1609,6000.0
2019-04-17,1535,2000.0
2019-04-17,1528,7000.0
2019-04-17,1519,3000.0
2019-04-17,1516,4000.0
2019-04-17,1512,13000.0
2019-04-17,1506,3000.0
2019-04-17,1471,13000.0
2019-04-17,1466,7000.0
2019-04-17,1455,8000.0
2019-04-17,1451,2000.0
2019-04-17,1441,5000.0
2019-04-17,1438,7000.0
2019-04-17,1435,13000.0
2019-04-17,1423,7000.0
2019-04-17,1414,10000.0
2019-04-17,1409,5000.0
2019-04-17,1339,2000.0
2019-04-17,1217,10000.0
2019-04-17,1216,1000.0
2019-04-17,1213,8000.0
2019-04-17,1108,9000.0
2019-04-18,9945,1000.0
2019-04-18,9935,2000.0
2019-04-18,9933,1000.0
2019-04-18,9927,1000.0
2019-04-18,9907,4000.0
2019-04-18,8463,2000.0
2019-04-18,8367,2000.0
2019-04-18,8201,4000.0
2019-04-18,6625,1000.0
2019-04-18,6412,1000.0
2019-04-18,6235,3000.0
2019-04-18,6226,6000.0
2019-04-18,6209,1000.0
2019-04-18,6183,1000.0
2019-04-18,6177,1000.0
2019-04-18,6142,6000.0
2019-04-18,6141,3000.0
2019-04-18,6131,26000.0
2019-04-18,6005,6000.0
2019-04-18,5608,5000.0
2019-04-18,5607,3000.0
2019-04-18,5533,3000.0
2019-04-18,5531,5000.0
2019-04-18,5521,7000.0
2019-04-18,4999,1000.0
2019-04-18,4967,2000.0
2019-04-18,4919,1000.0
2019-04-18,4737,1000.0
2019-04-18,4725,2000.0
2019-04-18,4566,1000.0
2019-04-18,4562,1000.0
2019-04-18,4414,4000.0
2019-04-18,3703,3000.0
2019-04-18,3694,2000.0
2019-04-18,3679,1000.0
2019-04-18,3557,2000.0
2019-04-18,3550,3000.0
2019-04-18,3545,2000.0
2019-04-18,3536,8000.0
2019-04-18,3501,1000.0
2019-04-18,3494,10000.0
2019-04-18,3432,3000.0
2019-04-18,3416,1000.0
2019-04-18,3383,44000.0
2019-04-18,3312,4000.0
2019-04-18,3229,3000.0
2019-04-18,3209,3000.0
2019-04-18,3055,2000.0
2019-04-18,3052,6000.0
