coid,mkt,elist_day1,list_day2,list_day1,TEJ產業名,TEJ子產業名,TSE新產業名,主計處產業名
R176,,2002-08-13,2003-01-02,,M23T 資訊通路,M23T2 零組件代理,,4642 電訊零組批
R073,,2002-01-02,2002-12-02,,M23G 半導體,M23G5 IC設計,,2611 積體電路製
L2301,,1983-01-26,2002-11-04,1983-01-26,M23D 電子零組件,M23D3 電源供應器,,2699 未分電子零
9965,,2006-12-29,2009-05-01,,M26C 貨運倉儲業,M26C 貨運倉儲業,M2600 航運業,523 貨運承攬業
9962,OTC,2006-07-10,,,M20A 金屬基本,M20A6 不銹鋼,M2000 鋼鐵工業,241 鋼鐵製造業
9961,,2003-01-17,2016-04-23,,M29A 百貨批發,M29A1 百貨購物中,M2900 貿易百貨,4719 其他綜合零
9960,OTC,2004-12-06,,,M29A 百貨批發,M29A1 百貨購物中,M2900 貿易百貨,4719 其他綜合零
9959,,2003-04-30,2004-11-11,,M29C 書局連鎖,M29C 書局連鎖,,4761 書籍文具零
9958,TSE,2008-03-12,,2008-03-12,M20A 金屬基本,M20A2 鋼筋,M2000 鋼鐵工業,241 鋼鐵製造業
9957,ROTC,2003-01-03,,,M20A 金屬基本,M20A6 不銹鋼,M2000 鋼鐵工業,241 鋼鐵製造業
9956,,2002-12-27,2005-09-13,,M99H 電視廣播,M99H 電視廣播,,60 廣電編傳播
9955,TSE,2008-01-21,,2008-01-21,M99L 資源回收,M99L1 貴金屬回收,M9900 其他,3830 資源回收處
9953,,2002-07-22,2007-07-11,,M99H 電視廣播,M99H 電視廣播,M9900 其他,60 廣電編傳播
9952,,2002-07-23,2003-10-09,,M99F 平媒電子報,M99F 平媒電子報,,581 新聞雜期書
9951,OTC,2003-12-18,,,M15D 汽車組件,M15D 汽車組件,M1500 電機機械,3030 汽車零件製
9950,OTC,2004-02-17,,,M99K 鞋及旅行箱,M99K 鞋及旅行箱,M1300 塑膠工業,130 皮革毛皮製
9949,OTC,2003-11-21,,,M18 玻璃陶瓷,M18 玻璃陶瓷,M3200 文化創意業,231 玻璃及製品
9948,,2002-01-02,2004-11-29,,M12Z 其他食品,M12Z 其他食品,,089 其他食製造
9947,,2002-01-02,2005-08-30,,M99D 公用事業,M99D1 加油站,,4821 加油加氣站
9946,TSE,2013-09-17,,2013-09-17,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發
9945,TSE,1992-04-30,,1992-04-30,M25A 建設,M25A 建設,M9900 其他,6700 不動產開發
9944,TSE,2002-08-26,,2002-08-26,M14F 不織布,M14F 不織布,M9900 其他,1130 不織布業
9943,TSE,2002-08-26,,2002-08-26,M27B 觀光遊樂區,M27B 觀光遊樂區,M2700 觀光事業,9321 遊樂主題園
9942,TSE,2002-01-28,,2002-01-28,M15D 汽車組件,M15D 汽車組件,M9900 其他,3030 汽車零件製
9941,TSE,2001-09-19,,2001-09-19,M28K 租賃業,M28K 租賃業,M9900 其他,6491 金融租賃業
9940,TSE,2001-09-19,,2001-09-19,M25D 仲介建經,M25D 仲介建經,M9900 其他,6812 不動產經紀
9939,TSE,2001-03-02,,2001-03-02,M13B 塑膠製品,M13B 塑膠製品,M9900 其他,220 塑膠製品製
9938,TSE,2001-01-12,,2001-01-12,M14Z 其他紡織,M14Z 其他紡織,M9900 其他,1119 其他紡紗業
9937,TSE,2000-09-11,,2000-09-11,M99D 公用事業,M99D1 加油站,M9700 油電燃氣業,4821 加油加氣站
9936,,2000-09-11,2005-06-20,2000-09-11,M99B 五金及家具,M99B 五金及家具,,3211 木製家具製
9935,TSE,2000-09-11,,2000-09-11,M99B 五金及家具,M99B 五金及家具,M9900 其他,3211 木製家具製
9934,TSE,2000-09-11,,2000-09-11,M99B 五金及家具,M99B 五金及家具,M9900 其他,3211 木製家具製
9933,TSE,1993-05-28,,1993-05-28,M25C 工程承攬,M25C 工程承攬,M9900 其他,7112 工程服務顧
9931,TSE,2000-03-21,,2000-03-21,M99D 公用事業,M99D2 天然氣,M9700 油電燃氣業,3520 氣體燃料供
9930,TSE,1999-11-22,,1999-11-22,M11C 其他水泥,M11C 其他水泥,M9900 其他,2333 水泥及混凝
9929,TSE,1999-06-28,,1999-06-28,M99C 印刷,M99C 印刷,M9900 其他,160 印儲媒複製
9928,TSE,1999-08-09,,1999-08-09,M99H 電視廣播,M99H 電視廣播,M9900 其他,60 廣電編傳播
9927,TSE,1999-03-12,,1999-03-12,M20A 金屬基本,M20A5 鋁鋅,M9900 其他,242 鋁製造業
9926,TSE,1998-04-08,,1998-04-08,M99D 公用事業,M99D2 天然氣,M9700 油電燃氣業,3520 氣體燃料供
9925,TSE,1995-12-09,,1995-12-09,M99I 保全業,M99I 保全業,M9900 其他,800 保全及偵探
9924,TSE,1995-03-15,,1995-03-15,M99B 五金及家具,M99B 五金及家具,M9900 其他,3211 木製家具製
9922,,1995-01-17,2010-06-21,1995-01-17,M99B 五金及家具,M99B 五金及家具,M9900 其他,3211 木製家具製
9921,TSE,1994-12-29,,1994-12-29,M99Z 其他,M99Z1 自行健行車,M9900 其他,3131 自行車製造
9919,TSE,1994-11-04,,1994-11-04,M14F 不織布,M14F 不織布,M9900 其他,1130 不織布業
9918,TSE,1994-04-26,,1994-04-26,M99D 公用事業,M99D2 天然氣,M9700 油電燃氣業,3520 氣體燃料供
9917,TSE,1993-12-08,,1993-12-08,M99I 保全業,M99I 保全業,M9900 其他,800 保全及偵探
9915,,1993-05-17,2008-03-01,1993-05-17,M99B 五金及家具,M99B 五金及家具,M9900 其他,3211 木製家具製
9914,TSE,1992-09-30,,1992-09-30,M99Z 其他,M99Z1 自行健行車,M9900 其他,3131 自行車製造
9912,TSE,1992-08-08,,1992-08-08,M23C 光電/ IO,M23C1 監視器,M2325 電腦及週邊,2712 顯示及終端
9911,TSE,1992-07-16,,1992-07-16,M99B 五金及家具,M99B 五金及家具,M9900 其他,3211 木製家具製
9910,TSE,1992-02-18,,1992-02-18,M99K 鞋及旅行箱,M99K 鞋及旅行箱,M9900 其他,130 皮革毛皮製
9908,TSE,1991-02-06,,1991-02-06,M99D 公用事業,M99D2 天然氣,M9700 油電燃氣業,3520 氣體燃料供
9907,TSE,1991-01-29,,1991-01-29,M20B 金屬製品,M20B 金屬製品,M9900 其他,25 金屬製品製
9906,TSE,1990-12-15,,1990-12-15,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發
9905,TSE,1990-08-08,,1990-08-08,M20B 金屬製品,M20B 金屬製品,M9900 其他,25 金屬製品製
9904,TSE,1990-01-19,,1990-01-19,M99K 鞋及旅行箱,M99K 鞋及旅行箱,M9900 其他,130 皮革毛皮製
9903,,1987-12-28,1997-09-30,1987-12-28,M99Z 其他,M99ZC 其他製造業,,33 其他製造業
9902,TSE,1964-07-14,,1964-07-14,M99Z 其他,M99ZC 其他製造業,M9900 其他,33 其他製造業
9802,TSE,2012-10-18,,2012-10-18,M99K 鞋及旅行箱,M99K 鞋及旅行箱,M9900 其他,130 皮革毛皮製
9801,,1973-10-16,2007-04-11,1973-10-16,M99Z 其他,M99ZC 其他製造業,,33 其他製造業
9188,TSE,2009-10-08,,2009-10-08,M23U 消費性電子,M23U1 照相機,W91   存託憑證,2771 照相機製造
916665,,2011-02-25,2012-03-28,2011-02-25,M23G 半導體,M23G1B 記憶體製造,W91   存託憑證,2611 積體電路製
9157,,2009-12-11,2019-11-12,2009-12-11,M23C 光電/ IO,M23C7C 太陽能電池,W91   存託憑證,2643 太陽能電池
9151,,2009-04-28,2013-10-15,2009-04-28,M12Z 其他食品,M12Z 其他食品,W91   存託憑證,089 其他食製造
913889,,2010-03-25,2015-12-29,2010-03-25,M12Z 其他食品,M12Z 其他食品,W91   存託憑證,089 其他食製造
9136,TSE,2009-05-25,,2009-05-25,M23D 電子零組件,M23D4 機殼,W91   存託憑證,2711 電腦製造業
912398,TSE,2010-03-18,,2010-03-18,M15A 機械業,M15A1 工具機,W91   存託憑證,291 金屬加工設
912000,TSE,2011-04-25,,2011-04-25,M23E 網路設備,M23E1 數據機,W91   存託憑證,2729 其他通訊傳
911868,TSE,2009-12-22,,2009-12-22,M23C 光電/ IO,M23C6C 封裝及應用,W91   存託憑證,2642 發光二極體
911626,,2011-12-30,2016-11-01,2011-12-30,M21B 橡膠,M21B2 其他橡膠,W91   存託憑證,2109 其他橡膠製
911622,TSE,2011-09-29,,2011-09-29,M20A 金屬基本,M20A1 線材,W91   存託憑證,241 鋼鐵製造業
911619,,2011-06-24,2019-08-19,2011-06-24,M15A 機械業,M15A1 工具機,W91   存託憑證,291 金屬加工設
911616,TSE,2011-03-09,,2011-03-09,M12Z 其他食品,M12Z 其他食品,W91   存託憑證,089 其他食製造
911613,OTC,2011-02-25,,,M99Z 其他,M99ZX 其他服務,W91   存託憑證,S 其他服務業
