coid,mdate,zdate,常續性稅後淨利,ndate
000116,2019-12-01,2020-03-23,197550.0,2020-06-01
000930,2019-12-01,2020-03-24,317002.0,2020-06-01
000960,2019-12-01,2020-03-30,452206.0,2020-06-01
0009A0,2019-12-01,2020-03-30,572456.0,2020-06-01
1101,2019-12-01,2020-03-20,7451254.0,2020-06-01
1102,2019-12-01,2020-03-31,4874314.0,2020-06-01
1103,2019-12-01,2020-03-31,-285092.0,2020-06-01
1104,2019-12-01,2020-03-26,438342.0,2020-06-01
1108,2019-12-01,2020-03-31,47043.0,2020-06-01
1109,2019-12-01,2020-03-31,429426.0,2020-06-01
1110,2019-12-01,2020-03-24,-36912.0,2020-06-01
1201,2019-12-01,2020-03-31,33628.0,2020-06-01
1203,2019-12-01,2020-03-30,184937.0,2020-06-01
1210,2019-12-01,2020-03-30,1209412.0,2020-06-01
1213,2019-12-01,2020-03-30,-7399.0,2020-06-01
1215,2019-12-01,2020-03-30,78582.0,2020-06-01
1216,2019-12-01,2020-03-27,4397293.0,2020-06-01
1217,2019-12-01,2020-03-30,-80622.0,2020-06-01
1218,2019-12-01,2020-03-31,75259.0,2020-06-01
1219,2019-12-01,2020-03-30,-26218.0,2020-06-01
1220,2019-12-01,2020-03-27,47226.0,2020-06-01
1225,2019-12-01,2020-03-31,115515.0,2020-06-01
1227,2019-12-01,2020-03-31,1027240.0,2020-06-01
1229,2019-12-01,2020-03-30,481601.0,2020-06-01
1231,2019-12-01,2020-03-19,230189.0,2020-06-01
1232,2019-12-01,2020-03-20,263434.0,2020-06-01
1233,2019-12-01,2020-03-23,31706.0,2020-06-01
1234,2019-12-01,2020-03-25,161534.0,2020-06-01
1235,2019-12-01,2020-03-30,-3431.0,2020-06-01
1236,2019-12-01,2020-02-26,48359.0,2020-06-01
1240,2019-12-01,2020-03-31,32310.0,2020-06-01
1259,2019-12-01,2020-02-27,18533.0,2020-06-01
1264,2019-12-01,2020-03-26,151506.0,2020-06-01
1268,2019-12-01,2020-03-10,51505.0,2020-06-01
1301,2019-12-01,2020-03-17,3239042.0,2020-06-01
1303,2019-12-01,2020-03-18,4035141.0,2020-06-01
1304,2019-12-01,2020-03-30,574708.0,2020-06-01
1305,2019-12-01,2020-03-20,236411.0,2020-06-01
1307,2019-12-01,2020-03-16,92029.0,2020-06-01
1308,2019-12-01,2020-03-24,252590.0,2020-06-01
