證券代碼,年月日,時間,指數,委託買進筆數,委託買進張數,委託賣出筆數,委託賣出張數,成交筆數,成交張數,成交金額
Y9999,2020-03-23,0900,9234.09,211947,2987641,153362,985831,0,0,0
Y9999,2020-03-23,0901,8858.56,243956,3652513,181989,1166965,56798,256214,7226
Y9999,2020-03-23,0902,8832.95,291070,4195694,216703,1267974,73621,327622,9250
Y9999,2020-03-23,0903,8798.41,341145,4507856,251062,1368694,91241,408592,11534
Y9999,2020-03-23,0904,8758.05,398340,4947963,287126,1460324,106499,467759,13364
Y9999,2020-03-23,0905,8753.71,452092,6538852,320146,1553955,120227,521500,14657
Y9999,2020-03-23,0906,8762.23,512710,7170380,353753,1632022,136063,595347,16325
Y9999,2020-03-23,0907,8775.55,574019,7726010,386712,1726463,148884,648887,17654
Y9999,2020-03-23,0908,8802.68,637252,8021767,420009,1779841,160778,698916,18948
Y9999,2020-03-23,0909,8822.39,695997,8189734,450597,1823980,172441,750718,20247
Y9999,2020-03-23,0910,8851.77,758329,8118492,482260,1870740,182456,791679,21369
Y9999,2020-03-23,0911,8875.57,821674,8265166,516414,1918112,194548,843159,22487
Y9999,2020-03-23,0912,8900.26,881449,8407047,548842,1957490,204221,878012,23601
Y9999,2020-03-23,0913,8902.11,945655,8614412,583699,1988071,213592,911453,24628
Y9999,2020-03-23,0914,8880.75,1012047,8874271,619252,2032371,223465,945617,25826
Y9999,2020-03-23,0915,8857.44,1072780,9331560,654650,2086714,232572,977783,26878
Y9999,2020-03-23,0916,8871.35,1129899,9510826,685556,2126867,241314,1017462,27707
Y9999,2020-03-23,0917,8872.2,1181467,9605521,713422,2164294,249030,1046611,28535
Y9999,2020-03-23,0918,8882.61,1230516,9859563,739249,2237578,255341,1069123,29133
Y9999,2020-03-23,0919,8886.03,1275764,9973921,762835,2266097,261771,1093912,29831
Y9999,2020-03-23,0920,8882.95,1317709,10177001,787155,2314046,268664,1120361,30539
Y9999,2020-03-23,0921,8888.14,1359277,10136364,810250,2343747,275667,1149374,31270
Y9999,2020-03-23,0922,8880.51,1405254,10174945,833758,2383872,282633,1174882,31965
Y9999,2020-03-23,0923,8874.97,1448920,10195616,857890,2418438,289520,1198291,32660
Y9999,2020-03-23,0924,8875.93,1488067,10270753,879350,2444339,296077,1221352,33200
Y9999,2020-03-23,0925,8884.96,1525696,10409844,899329,2479757,302139,1245327,33880
Y9999,2020-03-23,0926,8885.75,1563537,10407499,918450,2505795,308714,1269929,34498
Y9999,2020-03-23,0927,8884.82,1596662,10507457,936739,2538958,314344,1290693,34943
Y9999,2020-03-23,0928,8887.41,1628238,10470045,954715,2530375,320227,1312350,35461
Y9999,2020-03-23,0929,8902.15,1666208,10288206,974574,2548428,327280,1339126,36297
Y9999,2020-03-23,0930,8917.89,1721718,10348020,1003000,2578615,336084,1378084,37227
Y9999,2020-03-23,0931,8913.62,1781338,10513376,1036339,2621649,345405,1416998,38188
Y9999,2020-03-23,0932,8922.7,1831337,10563193,1064964,2659926,352229,1442140,38910
Y9999,2020-03-23,0933,8934.93,1876016,10704787,1090876,2692028,358987,1469414,39588
Y9999,2020-03-23,0934,8946.84,1922814,10569851,1116772,2701889,366894,1503225,40509
Y9999,2020-03-23,0935,8975.37,1979827,10657688,1149058,2735443,376779,1542316,41637
Y9999,2020-03-23,0936,8967.7,2044687,10650153,1187468,2776164,388264,1592376,42986
Y9999,2020-03-23,0937,8965.64,2099590,10946414,1219459,2827397,396767,1626814,43874
Y9999,2020-03-23,0938,8970.43,2140667,11188917,1243518,2863697,402881,1656615,44534
Y9999,2020-03-23,0939,8978.06,2183595,11107342,1267430,2897863,409191,1687303,45298
Y9999,2020-03-23,0940,8977.78,2230149,11210986,1293457,2933313,415541,1717627,46024
Y9999,2020-03-23,0941,8982.0,2274990,11259591,1320652,2964878,422479,1749921,46740
Y9999,2020-03-23,0942,8962.57,2322542,11065572,1349189,2995200,430366,1783067,47681
Y9999,2020-03-23,0943,8950.2,2369251,11344069,1378765,3043781,438001,1809834,48514
Y9999,2020-03-23,0944,8952.95,2413345,11389533,1404544,3072572,443944,1831535,49091
Y9999,2020-03-23,0945,8957.51,2450559,11538786,1427156,3091343,448608,1848633,49535
Y9999,2020-03-23,0946,8946.53,2492223,11520652,1453756,3113366,454419,1872469,50108
Y9999,2020-03-23,0947,8937.81,2527570,11559918,1477505,3148770,461799,1899581,50851
Y9999,2020-03-23,0948,8926.99,2566502,11610131,1501389,3180183,467835,1923507,51415
Y9999,2020-03-23,0949,8924.65,2597777,11694530,1521328,3211302,473774,1945058,51941
Y9999,2020-03-23,0950,8924.12,2635593,11572006,1544337,3248015,479676,1970704,52748
Y9999,2020-03-23,0951,8924.71,2669418,11665000,1564981,3270645,485133,1993441,53182
Y9999,2020-03-23,0952,8921.02,2697891,11654021,1581568,3290345,489124,2007697,53509
Y9999,2020-03-23,0953,8922.11,2725023,11715282,1597235,3322549,493709,2021430,53869
Y9999,2020-03-23,0954,8927.66,2750599,11626891,1612520,3342627,497608,2035765,54311
Y9999,2020-03-23,0955,8941.23,2783901,11633463,1631341,3372704,502307,2055733,54920
Y9999,2020-03-23,0956,8945.69,2819654,11579380,1651333,3378037,507799,2080389,55496
Y9999,2020-03-23,0957,8950.79,2859456,11585384,1673870,3405878,512570,2098890,56119
Y9999,2020-03-23,0958,8944.58,2890058,11826129,1691807,3437256,517074,2115679,56579
Y9999,2020-03-23,0959,8949.97,2920873,11852498,1709900,3466209,521695,2133261,57008
Y9999,2020-03-23,1000,8950.02,2950697,11910654,1728066,3485943,525779,2148188,57455
Y9999,2020-03-23,1001,8941.24,2984239,11838901,1748704,3506677,530754,2168785,57875
Y9999,2020-03-23,1002,8935.57,3021347,11987088,1772226,3544770,536162,2186878,58392
Y9999,2020-03-23,1003,8939.61,3048862,11920845,1789582,3563629,540400,2202224,58783
Y9999,2020-03-23,1004,8937.34,3075198,12026559,1805680,3564801,543639,2213383,59043
Y9999,2020-03-23,1005,8944.79,3103169,12021889,1822365,3581129,547252,2226073,59386
Y9999,2020-03-23,1006,8939.73,3132789,11936986,1839977,3594301,551716,2243871,59773
Y9999,2020-03-23,1007,8940.27,3161049,12024818,1856339,3616395,555620,2258502,60150
Y9999,2020-03-23,1008,8938.85,3192968,11870471,1874333,3625648,560015,2274100,60521
Y9999,2020-03-23,1009,8926.37,3231464,11875291,1898501,3654062,566902,2299512,61243
Y9999,2020-03-23,1010,8925.3,3265907,12115081,1920701,3685641,572298,2317371,61717
Y9999,2020-03-23,1011,8912.57,3301615,12035981,1942088,3702080,578568,2338116,62291
Y9999,2020-03-23,1012,8917.59,3333389,12036403,1962791,3717215,583115,2352097,62690
