mdate,coid,月營收(累計)
2020-03-01 00:00:00+00:00,000930,-3925.238
2020-03-01 00:00:00+00:00,000930M,-3925.238
2020-03-01 00:00:00+00:00,000960,1793.002
2020-03-01 00:00:00+00:00,000960M,1793.002
2020-03-01 00:00:00+00:00,1108,1104.72
2020-03-01 00:00:00+00:00,1108M,1104.72
2020-03-01 00:00:00+00:00,1203M,1675.725
2020-03-01 00:00:00+00:00,1216,108264.865
2020-03-01 00:00:00+00:00,1216M,108264.865
2020-03-01 00:00:00+00:00,1232,4073.682
2020-03-01 00:00:00+00:00,1232M,4073.682
2020-03-01 00:00:00+00:00,1233,489.451
2020-03-01 00:00:00+00:00,1233M,489.451
2020-03-01 00:00:00+00:00,1258M,721.19
2020-03-01 00:00:00+00:00,1259,1281.281
2020-03-01 00:00:00+00:00,1259M,1281.281
2020-03-01 00:00:00+00:00,1260,783.784
2020-03-01 00:00:00+00:00,1260M,783.784
2020-03-01 00:00:00+00:00,1304,11356.37
2020-03-01 00:00:00+00:00,1304M,11356.37
2020-03-01 00:00:00+00:00,1309M,2958.353
2020-03-01 00:00:00+00:00,1310,1698.252
2020-03-01 00:00:00+00:00,1310M,1698.252
2020-03-01 00:00:00+00:00,1315,518.209
2020-03-01 00:00:00+00:00,1315M,518.209
2020-03-01 00:00:00+00:00,1316,175.799
2020-03-01 00:00:00+00:00,1316M,175.799
2020-03-01 00:00:00+00:00,1325,428.099
2020-03-01 00:00:00+00:00,1325M,428.099
2020-03-01 00:00:00+00:00,1326,64444.053
2020-03-01 00:00:00+00:00,1402,52235.614
2020-03-01 00:00:00+00:00,1402M,52235.614
2020-03-01 00:00:00+00:00,1413,458.225
2020-03-01 00:00:00+00:00,1413M,458.225
2020-03-01 00:00:00+00:00,1419,566.28
2020-03-01 00:00:00+00:00,1419M,566.28
2020-03-01 00:00:00+00:00,1423,57.328
2020-03-01 00:00:00+00:00,1434,8588.936
2020-03-01 00:00:00+00:00,1434M,8588.936
2020-03-01 00:00:00+00:00,1435,3.737
2020-03-01 00:00:00+00:00,1439,49.728
2020-03-01 00:00:00+00:00,1439M,49.728
2020-03-01 00:00:00+00:00,1444,2443.699
2020-03-01 00:00:00+00:00,1444M,2443.699
2020-03-01 00:00:00+00:00,1445,317.696
2020-03-01 00:00:00+00:00,1451,1873.66
2020-03-01 00:00:00+00:00,1451M,1873.66
2020-03-01 00:00:00+00:00,1452,373.345
2020-03-01 00:00:00+00:00,1457,890.789
2020-03-01 00:00:00+00:00,1457M,890.789
2020-03-01 00:00:00+00:00,1465,128.096
2020-03-01 00:00:00+00:00,1465M,128.096
2020-03-01 00:00:00+00:00,1471,121.792
2020-03-01 00:00:00+00:00,1471M,121.792
2020-03-01 00:00:00+00:00,1472,65.293
2020-03-01 00:00:00+00:00,1477,6130.884
2020-03-01 00:00:00+00:00,1477M,6130.884
2020-03-01 00:00:00+00:00,1507,2851.29
2020-03-01 00:00:00+00:00,1507M,2851.29
2020-03-01 00:00:00+00:00,1516M,267.411
2020-03-01 00:00:00+00:00,1517,523.253
2020-03-01 00:00:00+00:00,1517M,523.253
2020-03-01 00:00:00+00:00,1525,207.671
2020-03-01 00:00:00+00:00,1525M,207.671
2020-03-01 00:00:00+00:00,1531,336.136
2020-03-01 00:00:00+00:00,1531M,336.136
2020-03-01 00:00:00+00:00,1532,2267.907
2020-03-01 00:00:00+00:00,1532M,2267.907
2020-03-01 00:00:00+00:00,1536M,1407.893
2020-03-01 00:00:00+00:00,1537,1704.575
2020-03-01 00:00:00+00:00,1537M,1704.575
2020-03-01 00:00:00+00:00,1558,1169.19
2020-03-01 00:00:00+00:00,1558M,1169.19
2020-03-01 00:00:00+00:00,1560,1227.863
2020-03-01 00:00:00+00:00,1560M,1227.863
2020-03-01 00:00:00+00:00,1570,122.477
2020-03-01 00:00:00+00:00,1570M,122.477
2020-03-01 00:00:00+00:00,1580,488.641
2020-03-01 00:00:00+00:00,1587,354.517
2020-03-01 00:00:00+00:00,1587M,354.517
2020-03-01 00:00:00+00:00,1589,1130.199
2020-03-01 00:00:00+00:00,1589M,1130.199
2020-03-01 00:00:00+00:00,1590,3157.407
2020-03-01 00:00:00+00:00,1590M,3157.407
2020-03-01 00:00:00+00:00,1602,4828.296
2020-03-01 00:00:00+00:00,1602M,4828.296
2020-03-01 00:00:00+00:00,1603,656.146
2020-03-01 00:00:00+00:00,1603M,656.146
2020-03-01 00:00:00+00:00,1608,1710.8
2020-03-01 00:00:00+00:00,1608M,1710.8
2020-03-01 00:00:00+00:00,1609,4336.897
2020-03-01 00:00:00+00:00,1616,619.181
